,Year,Ceftazidim,Ciprofloxacin,Gentamicin
3709,2006,30.0,37.0,27.0
3710,2006,30.0,36.0,28.0
3711,2006,33.0,36.0,28.0
3712,2006,32.0,36.0,28.0
3713,2006,34.0,37.0,31.0
3714,2006,29.0,25.0,27.0
3715,2006,29.0,32.0,27.0
3716,2006,30.0,33.0,26.0
3717,2006,32.0,34.0,28.0
3718,2006,33.0,36.0,26.0
3719,2006,30.0,34.0,28.0
3720,2006,30.0,35.0,28.0
3721,2006,27.0,35.0,30.0
3722,2006,31.0,37.0,30.0
3723,2006,36.0,43.0,31.0
3724,2006,30.0,24.0,32.0
3725,2006,34.0,40.0,31.0
3726,2006,35.0,39.0,30.0
3727,2006,33.0,40.0,28.0
3728,2006,32.0,39.0,30.0
3729,2006,34.0,40.0,31.0
3730,2006,31.0,39.0,29.0
3731,2006,35.0,40.0,26.0
3732,2006,34.0,34.0,28.0
3733,2006,33.0,38.0,30.0
3734,2006,35.0,19.0,33.0
3735,2006,32.0,37.0,28.0
3736,2006,30.0,40.0,28.0
3737,2006,33.0,42.0,30.0
3738,2006,34.0,40.0,30.0
3739,2006,35.0,40.0,30.0
3740,2006,33.0,39.0,28.0
3741,2006,34.0,42.0,28.0
3742,2006,36.0,28.0,28.0
3743,2006,32.0,39.0,30.0
3744,2006,33.0,30.0,30.0
3745,2006,31.0,37.0,30.0
3746,2006,33.0,39.0,28.0
3758,2006,34.0,37.0,26.0
3759,2006,33.0,37.0,27.0
3760,2006,32.0,38.0,26.0
3761,2006,33.0,38.0,25.0
3762,2006,33.0,37.0,26.0
3763,2006,34.0,40.0,24.0
3764,2006,32.0,39.0,28.0
3765,2006,33.0,37.0,26.0
3766,2006,30.0,39.0,27.0
3767,2006,33.0,37.0,26.0
3768,2006,32.0,37.0,26.0
3769,2006,32.0,35.0,27.0
3770,2006,32.0,38.0,25.0
3771,2006,32.0,38.0,26.0
3772,2006,30.0,37.0,26.0
3773,2006,33.0,37.0,24.0
3774,2006,28.0,37.0,24.0
3775,2006,34.0,38.0,25.0
3776,2006,33.0,38.0,26.0
3777,2006,31.0,37.0,26.0
3778,2006,13.0,12.0,28.0
3779,2006,31.0,40.0,24.0
3780,2006,31.0,38.0,25.0
3781,2006,31.0,31.0,28.0
3782,2006,33.0,39.0,26.0
3783,2006,33.0,35.0,26.0
3784,2006,34.0,39.0,26.0
3785,2006,33.0,39.0,25.0
3786,2006,32.0,33.0,27.0
3787,2006,33.0,36.0,25.0
3788,2006,31.0,36.0,25.0
3789,2006,33.0,37.0,27.0
3790,2006,34.0,39.0,26.0
3791,2006,32.0,38.0,27.0
3792,2006,29.0,37.0,27.0
3793,2006,30.0,38.0,26.0
3794,2006,36.0,42.0,28.0
3795,2006,32.0,38.0,25.0
3796,2006,32.0,41.0,26.0
3797,2006,31.0,37.0,25.0
3798,2006,32.0,39.0,27.0
3799,2006,33.0,40.0,37.0
3800,2006,35.0,26.0,28.0
3801,2006,31.0,41.0,28.0
3802,2006,33.0,40.0,38.0
3803,2006,33.0,40.0,28.0
3804,2006,34.0,41.0,28.0
3805,2006,34.0,39.0,26.0
3806,2006,36.0,44.0,30.0
3807,2006,34.0,39.0,26.0
3808,2006,34.0,38.0,27.0
3809,2006,34.0,34.0,27.0
3810,2006,34.0,38.0,37.0
3811,2006,37.0,40.0,26.0
3812,2006,31.0,36.0,28.0
3813,2006,33.0,40.0,27.0
3814,2006,35.0,40.0,27.0
3815,2006,34.0,38.0,28.0
3816,2006,35.0,41.0,27.0
3817,2006,34.0,41.0,28.0
3818,2006,33.0,38.0,26.0
3819,2006,34.0,40.0,28.0
3820,2006,34.0,40.0,27.0
3821,2006,34.0,40.0,27.0
3822,2006,41.0,45.0,26.0
3823,2006,34.0,38.0,26.0
3824,2006,35.0,38.0,26.0
3825,2006,32.0,40.0,26.0
3826,2006,34.0,40.0,29.0
3827,2006,30.0,38.0,28.0
3828,2006,32.0,40.0,28.0
3829,2006,34.0,40.0,28.0
3830,2006,30.0,40.0,30.0
3831,2006,33.0,38.0,38.0
3832,2006,34.0,40.0,27.0
3833,2006,28.0,37.0,27.0
3834,2006,31.0,39.0,26.0
3835,2006,30.0,38.0,28.0
