Run accession,Label,Year,Group,Ceftazidim,Ciprofloxacin,Gentamicin
ERR4034117,other,2017,491,27.0,32.0,20.0
ERR4034120,other,2017,10256,25.0,33.0,23.0
ERR4034123,other,2017,405,10.0,6.0,18.0
ERR4034293,other,2017,69,30.0,34.0,22.0
ERR4034296,other,2017,641,15.0,25.0,18.0
ERR4034297,other,2017,538,27.0,33.0,20.0
ERR4034498,other,2017,14,29.0,35.0,25.0
ERR4034320,other,2017,91,25.0,30.0,23.0
ERR4034526,other,2017,362,26.0,32.0,25.0
ERR4034555,other,2017,59,24.0,35.0,24.0
ERR4034583,other,2017,2619,28.0,36.0,30.0
ERR4034611,131-C,2017,131-C1,26.0,6.0,24.0
ERR4034640,other,2017,73,27.0,34.0,24.0
ERR4034353,other,2017,69,27.0,31.0,25.0
ERR4034692,other,2017,95,30.0,40.0,24.0
ERR4034790,other,2017,10,25.0,37.0,20.0
ERR4034822,other,2017,73,30.0,39.0,25.0
ERR4034854,other,2017,69,27.0,39.0,25.0
ERR4034911,other,2017,12,29.0,41.0,25.0
ERR4034939,other,2017,10268,30.0,34.0,25.0
ERR4034961,other,2017,131-B,25.0,36.0,20.0
ERR4034965,other,2017,10212,26.0,31.0,20.0
ERR4034976,other,2017,12,24.0,32.0,19.0
ERR4034980,131-C,2017,131-C1,16.0,6.0,20.0
ERR4034983,other,2017,5644,27.0,38.0,25.0
ERR4034993,other,2017,-1218,28.0,36.0,21.0
ERR4034997,other,2017,127,27.0,35.0,20.0
ERR4035008,other,2017,1057,22.0,33.0,19.0
ERR4035012,other,2017,131-B,21.0,35.0,22.0
ERR4035015,other,2017,73,29.0,37.0,24.0
ERR4035021,other,2017,1193,29.0,6.0,20.0
ERR4035040,other,2017,95,25.0,32.0,19.0
ERR4035043,other,2017,448,11.0,6.0,30.0
ERR4035044,other,2017,69,27.0,32.0,8.0
ERR4034724,other,2017,421,28.0,40.0,25.0
ERR4034757,other,2017,69,28.0,35.0,24.0
ERR4035167,other,2017,10218,25.0,28.0,17.0
ERR4035170,other,2017,95,25.0,27.0,17.0
ERR4035171,other,2017,12,26.0,31.0,19.0
ERR4035174,other,2017,348,25.0,32.0,21.0
ERR4035175,other,2017,69,27.0,24.0,20.0
ERR4035178,other,2017,73,26.0,31.0,6.0
ERR4035179,other,2017,69,28.0,35.0,19.0
ERR4035181,other,2017,101,25.0,31.0,17.0
ERR4035188,other,2017,144,25.0,31.0,23.0
ERR4035192,131-C,2017,131-C2,28.0,6.0,23.0
ERR4035079,other,2017,95,26.0,30.0,19.0
ERR4035196,other,2017,95,25.0,23.0,23.0
ERR4035200,other,2017,117,25.0,33.0,19.0
ERR4035203,other,2017,88,26.0,33.0,20.0
ERR4035204,other,2017,10258,26.0,29.0,20.0
ERR4035207,other,2017,69,25.0,25.0,22.0
ERR4035208,other,2017,95,25.0,32.0,22.0
ERR4035209,other,2017,357,25.0,29.0,21.0
ERR4035210,131-C,2017,10405-C1,27.0,8.0,19.0
ERR4035212,131-C,2017,131-C1,16.0,6.0,18.0
ERR4035221,other,2017,73,25.0,35.0,24.0
ERR4035225,other,2017,394,25.0,26.0,23.0
ERR4035229,other,2017,69,24.0,33.0,22.0
ERR4035233,other,2017,90,15.0,6.0,18.0
ERR4035083,other,2017,1057,27.0,31.0,18.0
ERR4035236,other,2017,73,26.0,32.0,21.0
ERR4035237,other,2017,537,28.0,31.0,18.0
ERR4035239,other,2017,58,25.0,30.0,21.0
ERR4035240,other,2017,10,28.0,34.0,24.0
ERR4035241,other,2017,38,26.0,25.0,19.0
ERR4035242,other,2017,69,26.0,30.0,19.0
ERR4035244,131-C,2017,131-C1,14.0,6.0,6.0
ERR4035253,other,2017,131-A,16.0,23.0,6.0
ERR4035257,other,2017,73,25.0,33.0,23.0
ERR4035261,other,2017,131-B,26.0,33.0,23.0
ERR4035267,other,2017,10217,24.0,29.0,22.0
ERR4035268,other,2017,38,12.0,33.0,19.0
ERR4035269,other,2017,73,27.0,29.0,19.0
ERR4035272,other,2017,141,25.0,28.0,18.0
ERR4035273,other,2017,450,25.0,6.0,6.0
ERR4035274,131-C,2017,131-C1,27.0,6.0,18.0
ERR4035087,other,2017,95,27.0,29.0,18.0
ERR4035276,other,2017,2712,33.0,38.0,27.0
ERR4035285,other,2017,685,26.0,33.0,23.0
ERR4035088,other,2017,73,28.0,29.0,19.0
ERR4035289,other,2017,69,26.0,30.0,22.0
ERR4035293,other,2017,10214,23.0,32.0,22.0
ERR4035294,other,2017,69,27.0,33.0,19.0
ERR4035298,other,2017,58,26.0,28.0,20.0
ERR4035300,other,2017,95,29.0,32.0,22.0
ERR4035301,other,2017,10,27.0,32.0,21.0
ERR4035302,other,2017,69,27.0,31.0,18.0
ERR4035305,other,2017,73,24.0,30.0,19.0
ERR4035307,other,2017,38,28.0,36.0,21.0
ERR4035309,other,2017,127,26.0,31.0,19.0
ERR4035314,other,2017,398,16.0,26.0,22.0
ERR4035091,other,2017,95,26.0,29.0,20.0
ERR4035318,other,2017,350,30.0,35.0,24.0
ERR4035322,other,2017,69,25.0,33.0,23.0
ERR4035092,other,2017,1193,24.0,8.0,6.0
ERR4035326,other,2017,681,26.0,31.0,19.0
ERR4035330,other,2017,14,28.0,32.0,19.0
ERR4035333,other,2017,131-A,26.0,25.0,20.0
ERR4035334,other,2017,372,25.0,32.0,18.0
ERR4035093,other,2017,998,26.0,38.0,19.0
ERR4035337,other,2017,357,25.0,34.0,19.0
ERR4035339,other,2017,162,30.0,6.0,23.0
ERR4035346,other,2017,117,26.0,23.0,22.0
ERR4035350,other,2017,73,26.0,35.0,23.0
ERR4035354,other,2017,1193,26.0,6.0,6.0
ERR4035358,other,2017,73,27.0,31.0,19.0
ERR4035362,other,2017,95,26.0,31.0,21.0
ERR4035365,131-C,2017,131-C1,28.0,6.0,22.0
ERR4035366,other,2017,10221,25.0,30.0,17.0
ERR4035367,other,2017,648,29.0,32.0,21.0
ERR4035369,other,2017,73,27.0,32.0,18.0
ERR4035378,other,2017,141,28.0,37.0,23.0
ERR4035381,other,2017,3765,28.0,28.0,24.0
ERR4035382,other,2017,12,26.0,38.0,22.0
ERR4035098,other,2017,95,25.0,37.0,20.0
ERR4035387,other,2017,38,24.0,26.0,18.0
ERR4035391,other,2017,127,26.0,32.0,19.0
ERR4035394,other,2017,538,26.0,25.0,20.0
ERR4035395,other,2017,12,27.0,29.0,19.0
ERR4035399,other,2017,10253,24.0,29.0,18.0
ERR4035403,other,2017,1193,27.0,6.0,19.0
ERR4035406,other,2017,12,26.0,30.0,24.0
ERR4035407,other,2017,69,28.0,10.0,18.0
ERR4035422,other,2017,95,25.0,37.0,23.0
ERR4035102,other,2017,127,28.0,38.0,23.0
ERR4035426,other,2017,491,26.0,29.0,19.0
ERR4035430,other,2017,1567,24.0,32.0,20.0
ERR4035434,other,2017,73,27.0,30.0,18.0
ERR4035435,other,2017,73,25.0,35.0,17.0
ERR4035439,other,2017,95,27.0,32.0,20.0
ERR4035106,other,2017,14,28.0,33.0,23.0
ERR4035110,other,2017,1170,25.0,33.0,17.0
ERR4035114,other,2017,69,27.0,31.0,20.0
ERR4035071,131-C,2017,131-C2,10.0,6.0,22.0
ERR4035116,other,2017,1982-A,25.0,25.0,6.0
ERR4035117,other,2017,9962,25.0,27.0,17.0
ERR4035119,other,2017,73,26.0,32.0,18.0
ERR4035120,other,2017,12,20.0,32.0,21.0
ERR4035122,other,2017,38,27.0,23.0,19.0
ERR4035123,131-C,2017,131-C2,13.0,6.0,7.0
ERR4035124,other,2017,69,27.0,34.0,25.0
ERR4035127,other,2017,95,26.0,37.0,23.0
ERR4035131,other,2017,14,29.0,33.0,23.0
ERR4035135,other,2017,10252,26.0,33.0,18.0
ERR4035139,131-C,2017,131-C1,27.0,6.0,6.0
ERR4035143,other,2017,95,29.0,20.0,20.0
ERR4035146,other,2017,1727,25.0,30.0,19.0
ERR4035148,other,2017,372,27.0,33.0,19.0
ERR4035149,other,2017,73,25.0,30.0,22.0
ERR4035150,other,2017,348,25.0,32.0,21.0
ERR4035154,other,2017,10281,27.0,34.0,18.0
ERR4035155,131-C,2017,131-C1,28.0,6.0,23.0
ERR4035075,other,2017,10215,26.0,31.0,22.0
ERR4035159,other,2017,73,23.0,33.0,23.0
ERR4035163,other,2017,12,27.0,36.0,24.0
ERR4035545,other,2017,73,24.0,27.0,20.0
ERR4035549,other,2017,131-B,27.0,32.0,19.0
ERR4035456,other,2017,349,25.0,30.0,19.0
ERR4035564,other,2017,6767,38.0,34.0,24.0
ERR4035568,other,2017,744,26.0,10.0,25.0
ERR4035570,other,2017,73,25.0,30.0,19.0
ERR4035573,other,2017,69,27.0,31.0,24.0
ERR4035574,other,2017,62,14.0,31.0,19.0
ERR4035578,other,2017,69,24.0,34.0,20.0
ERR4035597,other,2017,569,25.0,27.0,24.0
