,Ceftazidim,Ciprofloxacin,Gentamicin
5694,30.0,28.0,24.0
5695,30.0,30.0,24.0
5696,34.0,32.0,26.0
5697,36.0,34.0,26.0
5698,36.0,36.0,26.0
5699,34.0,38.0,28.0
5700,32.0,30.0,26.0
5701,32.0,32.0,24.0
5702,34.0,36.0,26.0
5703,36.0,36.0,24.0
5704,34.0,34.0,26.0
5705,32.0,34.0,24.0
5706,30.0,34.0,6.0
5707,32.0,32.0,24.0
5708,32.0,34.0,24.0
5709,36.0,36.0,24.0
5710,34.0,36.0,26.0
5711,34.0,38.0,26.0
5712,30.0,32.0,22.0
5713,34.0,30.0,24.0
5714,32.0,36.0,28.0
5715,34.0,34.0,26.0
5716,32.0,34.0,24.0
5717,32.0,33.0,24.0
5718,32.0,33.0,24.0
5719,34.0,34.0,24.0
5720,30.0,30.0,22.0
5721,30.0,32.0,22.0
5722,30.0,34.0,24.0
5723,32.0,36.0,24.0
5724,36.0,36.0,26.0
5725,32.0,32.0,24.0
5726,32.0,32.0,24.0
5727,30.0,34.0,24.0
5728,32.0,34.0,22.0
5729,30.0,26.0,24.0
5730,34.0,6.0,6.0
5731,34.0,30.0,26.0
5732,32.0,32.0,24.0
5733,34.0,38.0,24.0
5734,32.0,32.0,24.0
5735,30.0,34.0,22.0
5736,32.0,32.0,24.0
5737,30.0,36.0,24.0
5738,32.0,34.0,22.0
5739,30.0,32.0,27.0
5740,32.0,34.0,24.0
5741,30.0,32.0,24.0
5742,32.0,36.0,24.0
5743,32.0,36.0,30.0
5744,30.0,32.0,25.0
5745,30.0,40.0,26.0
5746,34.0,39.0,28.0
5747,34.0,40.0,28.0
5748,32.0,41.0,28.0
5749,36.0,41.0,28.0
5750,33.0,41.0,29.0
5751,33.0,40.0,29.0
5752,34.0,43.0,30.0
5753,36.0,44.0,31.0
5754,35.0,39.0,31.0
5755,36.0,42.0,30.0
5756,35.0,41.0,27.0
5757,34.0,42.0,30.0
5758,35.0,40.0,31.0
5759,35.0,40.0,28.0
5760,33.0,39.0,27.0
5761,32.0,40.0,28.0
5762,33.0,38.0,27.0
5763,35.0,39.0,30.0
5764,36.0,40.0,30.0
5765,34.0,40.0,28.0
5766,36.0,41.0,26.0
5767,34.0,41.0,29.0
5768,35.0,38.0,27.0
5769,35.0,40.0,28.0
5770,35.0,39.0,29.0
5771,34.0,39.0,28.0
5772,33.0,40.0,27.0
5773,34.0,41.0,28.0
5774,32.0,39.0,30.0
5775,33.0,39.0,30.0
5776,33.0,40.0,30.0
5777,34.0,40.0,27.0
5778,33.0,42.0,30.0
5779,36.0,41.0,32.0
5780,34.0,39.0,29.0
5781,35.0,41.0,29.0
5782,34.0,40.0,31.0
5783,34.0,42.0,30.0
5784,35.0,42.0,29.0
5785,34.0,40.0,28.0
5786,33.0,39.0,27.0
5787,35.0,43.0,29.0
5788,35.0,42.0,28.0
5789,36.0,43.0,28.0
5790,33.0,41.0,30.0
